Date,Y
15JUN2008,98.02
16JUN2008,100.34
17JUN2008,99.36
18JUN2008,100.84
19JUN2008,100.26
20JUN2008,99.74
21JUN2008,100.85
22JUN2008,98.97
23JUN2008,99.31
24JUN2008,99.91
25JUN2008,100.06
26JUN2008,98.71
27JUN2008,99.35
28JUN2008,100.21
29JUN2008,99.66
30JUN2008,99.74
01JUL2008,99.22
02JUL2008,99.36
03JUL2008,99.63
04JUL2008,99.06
05JUL2008,101.06
06JUL2008,101.02
07JUL2008,101.10
08JUL2008,99.46
09JUL2008,99.03
10JUL2008,99.01
11JUL2008,97.97
12JUL2008,98.80
13JUL2008,98.07
14JUL2008,97.93
15JUL2008,97.21
16JUL2008,97.87
17JUL2008,97.12
18JUL2008,98.68
19JUL2008,98.40
20JUL2008,98.11
21JUL2008,97.42
22JUL2008,98.22
23JUL2008,99.37
24JUL2008,99.19
25JUL2008,99.01
26JUL2008,101.25
27JUL2008,101.50
28JUL2008,101.12
29JUL2008,100.29
30JUL2008,100.33
31JUL2008,99.87
01AUG2008,101.12
02AUG2008,101.21
03AUG2008,100.29
04AUG2008,101.13
05AUG2008,101.32
06AUG2008,100.82
07AUG2008,101.03
08AUG2008,100.67
09AUG2008,100.77
10AUG2008,100.60
11AUG2008,101.01
12AUG2008,101.10
13AUG2008,101.44
14AUG2008,101.91
15AUG2008,100.42
16AUG2008,101.26
17AUG2008,99.05
18AUG2008,101.29
19AUG2008,100.36
20AUG2008,100.37
21AUG2008,99.92
22AUG2008,98.69
23AUG2008,98.98
24AUG2008,98.75
25AUG2008,99.05
26AUG2008,99.57
27AUG2008,100.40
28AUG2008,100.40
29AUG2008,99.56
30AUG2008,99.97
31AUG2008,99.55
01SEP2008,100.02
02SEP2008,100.38
03SEP2008,99.97
04SEP2008,100.99
05SEP2008,99.74
06SEP2008,99.31
07SEP2008,99.59
08SEP2008,100.85
09SEP2008,100.54
10SEP2008,100.33
11SEP2008,100.39
12SEP2008,101.11
13SEP2008,99.39
14SEP2008,100.60
15SEP2008,100.83
16SEP2008,99.13
17SEP2008,99.41
18SEP2008,100.07
19SEP2008,100.91
20SEP2008,99.89
21SEP2008,100.26
22SEP2008,99.33
23SEP2008,98.68
24SEP2008,99.40
25SEP2008,99.72
26SEP2008,99.59
27SEP2008,100.13
28SEP2008,100.08
29SEP2008,101.17
30SEP2008,101.55
01OCT2008,99.97
02OCT2008,100.88
03OCT2008,100.02
04OCT2008,99.91
05OCT2008,100.75
06OCT2008,99.94
07OCT2008,100.50
08OCT2008,99.13
09OCT2008,101.41
10OCT2008,99.78
11OCT2008,99.53
12OCT2008,100.08
13OCT2008,99.22
14OCT2008,98.97
15OCT2008,98.58
16OCT2008,98.46
17OCT2008,99.02
18OCT2008,98.69
19OCT2008,98.96
20OCT2008,98.30
21OCT2008,98.24
22OCT2008,98.44
23OCT2008,98.14
24OCT2008,97.71
25OCT2008,98.84
26OCT2008,99.80
27OCT2008,99.24
28OCT2008,99.26
29OCT2008,100.03
30OCT2008,101.42
31OCT2008,100.48
01NOV2008,100.09
02NOV2008,99.15
03NOV2008,99.68
04NOV2008,99.75
05NOV2008,99.22
06NOV2008,98.87
07NOV2008,98.82
08NOV2008,100.38
09NOV2008,100.49
10NOV2008,99.10
11NOV2008,99.32
12NOV2008,99.36
13NOV2008,98.76
14NOV2008,99.28
15NOV2008,99.48
16NOV2008,100.37
17NOV2008,100.02
18NOV2008,99.15
19NOV2008,99.31
20NOV2008,98.99
21NOV2008,99.60
22NOV2008,99.47
23NOV2008,99.58
24NOV2008,99.86
25NOV2008,101.22
26NOV2008,100.19
27NOV2008,100.78
28NOV2008,101.13
29NOV2008,102.47
30NOV2008,101.47
01DEC2008,103.17
02DEC2008,102.55
03DEC2008,103.49
04DEC2008,103.11
05DEC2008,102.66
06DEC2008,103.25
07DEC2008,102.12
08DEC2008,100.71
09DEC2008,101.21
10DEC2008,101.40
11DEC2008,99.99
12DEC2008,101.42
13DEC2008,101.00
14DEC2008,102.16
15DEC2008,101.15
16DEC2008,101.19
17DEC2008,101.32
18DEC2008,101.27
19DEC2008,100.95
20DEC2008,101.86
21DEC2008,101.90
22DEC2008,102.01
23DEC2008,102.07
24DEC2008,101.62
25DEC2008,102.68
26DEC2008,102.37
27DEC2008,102.14
28DEC2008,101.71
29DEC2008,103.09
30DEC2008,103.00
31DEC2008,103.04
